Comment,Designator,Footprint,JLCPCB Part#(optional)
CPG151101S11,MX39,MXOnly-2U-Hotswap-ReversedStabilizers,C2803348
CPG151101S11,MX4,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX40,MXOnly-1.75U-Hotswap,C2803348
CPG151101S11,MX41,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX42,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX43,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX44,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX45,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX46,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX47,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX48,MXOnly-1.75U-Hotswap,C2803348
CPG151101S11,MX49,MXOnly-ISO-Hotswap-ReversedStabilizers,C2803348
CPG151101S11,MX5,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX6,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX7,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX8,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX9,MXOnly-1U-Hotswap,C2803348
1k ohm,R_Crystal1,R_0402_1005Metric,C279987
27 ohm,R_DATA1,R_0402_1005Metric,C25100
27 ohm,R_DATA2,R_0402_1005Metric,C25100
1k ohm,R_Flash1,R_0402_1005Metric,C279987
5k1 ohm,R_Flash2,R_0402_1005Metric,C103086
5k1 ohm,R_Flash3,R_0402_1005Metric,C103086
5k1 ohm,R_RST1,R_0402_1005Metric,C103086
BOOTSEL,SW1,SW_SPST_TL3342,C318884
RESET,SW2,SW_SPST_TL3342,C318884
RP2040,U1,RP2040-QFN-56,C2040
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C2613930
XC6206P332MR,U3,SOT-23,C5446
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
