Designator,Val,Package,MidX,MidY,Rotation,Layer
MX7,CPG151101S11,MXOnly-1U-Hotswap,42.86238,33.337794,180,bottom
MX8,CPG151101S11,MXOnly-1U-Hotswap,28.57488,14.287794,180,bottom
MX9,CPG151101S11,MXOnly-1U-Hotswap,47.62488,71.437794,180,bottom
MX10,CPG151101S11,MXOnly-1U-Hotswap,52.38738,52.387794,180,bottom
MX11,CPG151101S11,MXOnly-1U-Hotswap,61.91238,33.337744,180,bottom
MX12,CPG151101S11,MXOnly-1U-Hotswap,47.62488,14.287794,180,bottom
MX13,CPG151101S11,MXOnly-1U-Hotswap,66.67488,71.437794,180,bottom
MX14,CPG151101S11,MXOnly-1U-Hotswap,71.43738,52.387794,180,bottom
MX15,CPG151101S11,MXOnly-1U-Hotswap,80.96238,33.337744,180,bottom
MX16,CPG151101S11,MXOnly-1U-Hotswap,85.72488,71.437794,180,bottom
MX17,CPG151101S11,MXOnly-1U-Hotswap,90.48738,52.387794,180,bottom
MX18,CPG151101S11,MXOnly-1U-Hotswap,100.01238,33.337794,180,bottom
MX19,CPG151101S11,MXOnly-2U-Hotswap-ReversedStabilizers,80.96238,9.525294,180,bottom
MX20,CPG151101S11,MXOnly-1U-Hotswap,104.77488,71.437794,180,bottom
MX21,CPG151101S11,MXOnly-1U-Hotswap,109.53738,52.387794,180,bottom
MX22,CPG151101S11,MXOnly-1U-Hotswap,119.06238,33.337744,180,bottom
MX23,CPG151101S11,MXOnly-2U-Hotswap-ReversedStabilizers,119.06238,9.525024,180,bottom
MX24,CPG151101S11,MXOnly-1U-Hotswap,123.82488,71.437794,180,bottom
MX25,CPG151101S11,MXOnly-1U-Hotswap,128.58738,52.387794,180,bottom
MX26,CPG151101S11,MXOnly-1U-Hotswap,138.11238,33.337794,180,bottom
MX27,CPG151101S11,MXOnly-1U-Hotswap,142.87488,71.437794,180,bottom
MX28,CPG151101S11,MXOnly-1U-Hotswap,147.63738,52.387794,180,bottom
MX29,CPG151101S11,MXOnly-1U-Hotswap,157.16238,33.337794,180,bottom
MX30,CPG151101S11,MXOnly-1U-Hotswap,152.39988,14.287794,180,bottom
MX31,CPG151101S11,MXOnly-1U-Hotswap,161.92488,71.437794,180,bottom
MX32,CPG151101S11,MXOnly-1U-Hotswap,166.68738,52.387794,180,bottom
MX33,CPG151101S11,MXOnly-1.75U-Hotswap,183.35613,33.337584,180,bottom
MX34,CPG151101S11,MXOnly-1U-Hotswap,171.44988,14.287794,180,bottom
MX35,CPG151101S11,MXOnly-1.5U-Hotswap,185.73738,71.437794,180,bottom
MX36,CPG151101S11,MXOnly-1.25U-Hotswap,188.11863,52.387794,180,bottom
MX37,CPG151101S11,MXOnly-1U-Hotswap,190.49988,14.287794,180,bottom
MX38,CPG151101S11,MXOnly-2U-Hotswap-ReversedStabilizers,100.01238,9.525024,180,bottom
R_Crystal1,1k,R_0402_1005Metric,28.692169,35.304086,45,bottom
R_DATA1,27,R_0402_1005Metric,23.366313,54.917469,-90,bottom
R_DATA2,27,R_0402_1005Metric,22.026501,54.917469,-90,bottom
R_Flash1,1k,R_0402_1005Metric,36.909474,63.942768,-90,bottom
R_Flash2,5k1,R_0402_1005Metric,39.290726,63.942768,-90,bottom
R_Flash3,5k1,R_0402_1005Metric,38.1001,63.942768,90,bottom
R_RST1,5k1,R_0402_1005Metric,4.411172,9.525224,180,bottom
SW1,BOOTSEL,SW_SPST_TL3342,38.100096,24.407874,0,bottom
SW2,RESET,SW_SPST_TL3342,26.193816,24.407874,0,bottom
U1,RP2040,RP2040-QFN-56,29.170386,42.862608,180,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,46.434492,62.547768,180,bottom
U3,XC6206P332MR,SOT-23,15.478164,62.805627,90,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,30.247036,33.749219,45,bottom
